;i;status
0;0;1
1;1;1
2;2;1
3;3;1
4;4;1
5;5;0
6;6;0
7;7;0
8;8;1
9;9;0
10;10;1
11;11;0
12;12;1
13;13;1
14;14;0
15;15;0
16;16;0
17;17;0
18;18;0
19;19;0
20;20;0
21;21;0
22;22;0
23;23;1
24;24;1
25;25;1
26;26;1
27;27;1
28;28;0
29;29;0
30;30;0
31;31;1
32;32;1
33;33;0
34;34;1
35;35;0
36;36;0
37;37;1
38;38;1
39;39;0
40;40;1
41;41;0
42;42;0
43;43;1
44;44;1
45;45;0
46;46;1
47;47;0
48;48;0
49;49;0
50;50;1
51;51;1
52;52;0
53;53;1
54;54;0
55;55;0
56;56;1
57;57;1
58;58;0
59;59;1
60;60;1
61;61;0
62;62;0
63;63;0
64;64;1
65;65;1
66;66;1
67;67;1
68;68;1
69;69;0
70;70;1
71;71;0
72;72;1
73;73;1
74;74;1
75;75;0
76;76;1
77;77;1
78;78;1
79;79;0
80;80;0
81;81;0
82;82;1
83;83;0
84;84;1
85;85;0
86;86;1
87;87;0
88;88;1
89;89;0
90;90;0
91;91;0
92;92;0
93;93;0
94;94;1
95;95;0
96;96;1
97;97;1
98;98;1
99;99;1
100;100;1
101;101;1
102;102;1
103;103;0
104;104;1
105;105;1
106;106;0
107;107;0
108;108;0
109;109;1
110;110;1
111;111;1
112;112;1
113;113;1
114;114;0
115;115;0
116;116;1
117;117;1
118;118;1
119;119;1
120;120;1
121;121;0
122;122;1
123;123;1
124;124;1
125;125;1
126;126;1
127;127;0
128;128;1
129;129;0
130;130;1
131;131;0
132;132;1
133;133;0
134;134;1
135;135;0
136;136;0
137;137;0
138;138;1
139;139;1
140;140;1
141;141;0
142;142;0
143;143;1
144;144;1
145;145;1
146;146;1
147;147;1
148;148;0
149;149;1
150;150;0
151;151;1
152;152;0
153;153;0
154;154;0
155;155;1
156;156;1
157;157;1
158;158;0
159;159;1
160;160;1
161;161;0
162;162;0
163;163;1
164;164;1
165;165;0
166;166;0
167;167;0
168;168;0
169;169;1
170;170;1
171;171;1
172;172;1
173;173;0
174;174;1
175;175;1
176;176;0
177;177;1
178;178;0
179;179;1
180;180;0
181;181;1
182;182;1
183;183;1
184;184;1
185;185;0
186;186;1
187;187;1
188;188;1
189;189;1
190;190;0
191;191;0
192;192;0
193;193;0
194;194;0
195;195;0
196;196;1
197;197;1
198;198;1
199;199;0
200;200;1
201;201;1
202;202;1
203;203;0
204;204;1
205;205;1
206;206;0
207;207;0
208;208;0
209;209;1
210;210;1
211;211;0
212;212;1
213;213;1
214;214;0
215;215;1
216;216;0
217;217;1
218;218;1
219;219;1
220;220;0
221;221;1
222;222;1
223;223;1
224;224;1
225;225;0
226;226;0
227;227;1
228;228;1
229;229;1
230;230;1
231;231;1
232;232;1
233;233;1
234;234;0
235;235;0
236;236;0
237;237;1
238;238;0
239;239;1
240;240;1
241;241;0
242;242;0
243;243;0
244;244;1
245;245;1
246;246;0
247;247;1
248;248;0
249;249;0
250;250;1
251;251;0
252;252;1
253;253;0
254;254;1
255;255;0
256;256;1
257;257;0
258;258;0
259;259;0
260;260;1
261;261;1
262;262;0
263;263;0
264;264;1
265;265;1
266;266;1
267;267;1
268;268;0
269;269;1
270;270;0
271;271;0
272;272;0
273;273;1
274;274;0
275;275;1
276;276;1
277;277;1
278;278;0
279;279;1
280;280;0
281;281;0
282;282;0
283;283;1
284;284;1
285;285;1
286;286;0
287;287;1
288;288;0
289;289;1
290;290;0
291;291;1
292;292;1
293;293;1
294;294;1
295;295;1
296;296;1
297;297;1
298;298;0
299;299;0
300;300;1
301;301;1
302;302;1
303;303;1
304;304;1
305;305;0
306;306;1
307;307;0
308;308;0
309;309;1
310;310;1
311;311;1
312;312;0
313;313;1
314;314;1
315;315;0
316;316;1
317;317;1
318;318;1
319;319;1
320;320;1
321;321;0
322;322;0
323;323;0
324;324;1
325;325;1
326;326;1
327;327;1
328;328;1
329;329;0
330;330;1
331;331;1
332;332;1
333;333;0
334;334;0
335;335;0
336;336;0
337;337;0
338;338;1
339;339;1
340;340;1
341;341;0
342;342;1
343;343;1
344;344;1
345;345;1
346;346;1
347;347;1
348;348;1
349;349;0
350;350;0
351;351;1
352;352;0
353;353;1
354;354;0
355;355;0
356;356;0
357;357;0
358;358;0
359;359;1
360;360;0
361;361;1
362;362;0
363;363;1
364;364;1
365;365;0
366;366;0
367;367;1
368;368;0
369;369;1
370;370;0
371;371;0
372;372;0
373;373;1
374;374;1
375;375;1
376;376;0
377;377;1
378;378;1
379;379;0
380;380;0
381;381;1
382;382;0
383;383;0
384;384;1
385;385;1
386;386;1
387;387;0
388;388;0
389;389;0
390;390;0
391;391;0
392;392;0
393;393;1
394;394;1
395;395;0
396;396;1
397;397;1
398;398;1
399;399;1
400;400;0
401;401;0
402;402;1
403;403;0
404;404;1
405;405;1
406;406;1
407;407;0
408;408;1
409;409;1
410;410;1
411;411;0
412;412;0
413;413;0
414;414;0
415;415;0
416;416;1
417;417;1
418;418;0
419;419;0
420;420;1
421;421;0
422;422;0
423;423;0
424;424;0
425;425;1
426;426;1
427;427;1
428;428;1
429;429;0
430;430;0
431;431;1
432;432;0
433;433;1
434;434;0
435;435;1
436;436;1
437;437;0
438;438;0
439;439;0
440;440;0
441;441;1
442;442;1
443;443;0
444;444;0
445;445;0
446;446;1
447;447;0
448;448;1
449;449;1
450;450;0
451;451;0
452;452;0
453;453;1
454;454;1
455;455;1
456;456;0
457;457;1
458;458;1
459;459;1
460;460;1
461;461;1
462;462;1
463;463;1
464;464;0
465;465;0
466;466;0
467;467;1
468;468;0
469;469;0
470;470;0
471;471;0
472;472;0
473;473;0
474;474;0
475;475;1
476;476;1
477;477;0
478;478;1
479;479;0
480;480;1
481;481;0
482;482;0
483;483;1
484;484;0
485;485;1
486;486;0
487;487;0
488;488;1
489;489;0
490;490;1
491;491;0
492;492;1
493;493;1
494;494;0
495;495;0
496;496;1
497;497;1
498;498;0
499;499;1
500;500;1
501;501;0
502;502;0
503;503;1
504;504;0
505;505;0
506;506;1
507;507;1
508;508;0
509;509;0
510;510;0
511;511;1
512;512;1
513;513;0
514;514;0
515;515;0
516;516;0
517;517;0
518;518;0
519;519;0
520;520;1
521;521;1
522;522;0
523;523;0
524;524;0
525;525;1
526;526;1
527;527;1
528;528;0
529;529;1
530;530;1
531;531;1
532;532;0
533;533;0
534;534;1
535;535;0
536;536;0
537;537;0
538;538;1
539;539;0
540;540;1
541;541;0
542;542;1
543;543;0
544;544;1
545;545;0
546;546;1
547;547;0
548;548;0
549;549;1
550;550;1
551;551;1
552;552;0
553;553;0
554;554;1
555;555;1
556;556;0
557;557;1
558;558;0
559;559;1
560;560;0
561;561;0
562;562;1
563;563;0
564;564;1
565;565;1
566;566;1
567;567;0
568;568;0
569;569;1
570;570;1
571;571;1
572;572;1
573;573;1
574;574;0
575;575;1
576;576;0
577;577;1
578;578;0
579;579;1
580;580;1
581;581;1
582;582;0
583;583;1
584;584;0
585;585;1
586;586;0
587;587;1
588;588;1
589;589;1
590;590;1
591;591;0
592;592;1
593;593;0
594;594;1
595;595;0
596;596;1
597;597;1
598;598;0
599;599;1
600;600;0
601;601;1
602;602;0
603;603;0
604;604;1
605;605;1
606;606;1
607;607;1
608;608;1
609;609;0
610;610;0
611;611;0
612;612;0
613;613;1
614;614;1
615;615;1
616;616;1
617;617;1
618;618;1
619;619;1
620;620;1
621;621;1
622;622;1
623;623;0
624;624;0
625;625;0
626;626;0
627;627;1
628;628;1
629;629;0
630;630;0
631;631;0
632;632;1
633;633;0
634;634;1
635;635;1
636;636;1
637;637;1
638;638;0
639;639;1
640;640;0
641;641;0
642;642;1
643;643;0
644;644;0
645;645;0
646;646;0
647;647;1
648;648;1
649;649;1
650;650;0
651;651;0
652;652;0
653;653;0
654;654;0
655;655;1
656;656;1
657;657;1
658;658;1
659;659;1
660;660;1
661;661;1
662;662;1
663;663;0
664;664;0
665;665;0
666;666;0
667;667;0
668;668;0
669;669;1
670;670;0
671;671;1
672;672;1
673;673;1
674;674;0
675;675;1
676;676;1
677;677;1
678;678;1
679;679;0
680;680;0
681;681;0
682;682;0
683;683;1
684;684;0
685;685;0
686;686;0
687;687;1
688;688;1
689;689;1
690;690;0
691;691;0
692;692;1
693;693;0
694;694;0
695;695;1
696;696;0
697;697;1
698;698;1
699;699;1
700;700;0
701;701;1
702;702;0
703;703;1
704;704;1
705;705;1
706;706;0
707;707;0
708;708;0
709;709;1
710;710;0
711;711;1
712;712;0
713;713;1
714;714;0
715;715;0
716;716;1
717;717;0
718;718;0
719;719;0
720;720;1
721;721;0
722;722;0
723;723;0
724;724;1
725;725;0
726;726;1
727;727;0
728;728;1
729;729;1
730;730;0
731;731;0
732;732;0
733;733;0
734;734;1
735;735;0
736;736;0
737;737;0
738;738;0
739;739;0
740;740;1
741;741;1
742;742;0
743;743;0
744;744;1
745;745;1
746;746;1
747;747;1
748;748;0
749;749;1
750;750;1
751;751;1
752;752;0
753;753;1
754;754;1
755;755;1
756;756;1
757;757;0
758;758;0
759;759;1
760;760;0
761;761;0
762;762;1
763;763;1
764;764;0
765;765;0
766;766;1
767;767;0
768;768;1
769;769;1
770;770;0
771;771;1
772;772;0
773;773;1
774;774;0
775;775;1
776;776;0
777;777;1
778;778;1
779;779;1
780;780;0
781;781;0
782;782;1
783;783;0
784;784;0
785;785;1
786;786;1
787;787;1
788;788;1
789;789;0
790;790;1
791;791;0
792;792;1
793;793;0
794;794;0
795;795;1
796;796;0
797;797;0
798;798;1
799;799;1
800;800;1
801;801;1
802;802;1
803;803;0
804;804;1
805;805;0
806;806;1
807;807;0
808;808;0
809;809;1
810;810;1
811;811;1
812;812;0
813;813;1
814;814;0
815;815;0
816;816;0
817;817;0
818;818;1
819;819;0
820;820;1
821;821;1
822;822;1
823;823;1
824;824;1
825;825;1
826;826;0
827;827;0
828;828;0
829;829;1
830;830;1
831;831;1
832;832;1
833;833;1
834;834;1
835;835;0
836;836;0
837;837;0
838;838;1
839;839;0
840;840;0
841;841;0
842;842;1
843;843;1
844;844;0
845;845;1
846;846;0
847;847;0
848;848;0
849;849;0
850;850;0
851;851;0
852;852;0
853;853;1
854;854;1
855;855;0
856;856;1
857;857;0
858;858;0
859;859;0
860;860;1
861;861;1
862;862;0
863;863;1
864;864;0
865;865;0
866;866;1
867;867;1
868;868;1
869;869;0
870;870;0
871;871;0
872;872;0
873;873;0
874;874;1
875;875;1
876;876;1
877;877;1
878;878;1
879;879;0
880;880;1
881;881;1
882;882;0
883;883;1
884;884;1
885;885;0
886;886;0
887;887;0
888;888;1
889;889;1
890;890;1
891;891;1
892;892;1
893;893;1
894;894;0
895;895;0
896;896;0
897;897;1
898;898;1
899;899;0
900;900;1
901;901;0
902;902;0
903;903;1
904;904;1
905;905;0
906;906;0
907;907;1
908;908;1
909;909;1
910;910;0
911;911;0
912;912;1
913;913;1
914;914;0
915;915;1
916;916;1
917;917;0
918;918;0
919;919;1
920;920;1
921;921;0
922;922;0
923;923;0
924;924;0
925;925;1
926;926;0
927;927;0
928;928;0
929;929;0
930;930;0
931;931;1
932;932;0
933;933;0
934;934;1
935;935;0
936;936;0
937;937;0
938;938;1
939;939;0
940;940;0
941;941;0
942;942;1
943;943;0
944;944;0
945;945;0
946;946;0
947;947;0
948;948;0
949;949;0
950;950;1
951;951;1
952;952;1
953;953;0
954;954;1
955;955;0
956;956;0
957;957;0
958;958;1
959;959;0
960;960;1
961;961;1
962;962;0
963;963;1
964;964;0
965;965;0
966;966;0
967;967;1
968;968;1
969;969;1
970;970;1
971;971;0
972;972;1
973;973;0
974;974;0
975;975;1
976;976;0
977;977;1
978;978;1
979;979;1
980;980;1
981;981;0
982;982;1
983;983;0
984;984;1
985;985;0
986;986;0
987;987;0
988;988;0
989;989;1
990;990;0
991;991;0
992;992;0
993;993;1
994;994;1
995;995;0
996;996;1
997;997;1
998;998;1
999;999;0
1000;1000;0
1001;1001;0
1002;1002;1
1003;1003;1
1004;1004;0
1005;1005;1
1006;1006;1
1007;1007;1
1008;1008;0
1009;1009;1
1010;1010;0
1011;1011;1
1012;1012;0
1013;1013;1
1014;1014;1
1015;1015;0
1016;1016;0
1017;1017;1
1018;1018;1
1019;1019;1
1020;1020;1
1021;1021;1
1022;1022;0
1023;1023;1
1024;1024;0
1025;1025;0
1026;1026;1
1027;1027;1
1028;1028;1
1029;1029;1
1030;1030;1
1031;1031;0
1032;1032;1
1033;1033;1
1034;1034;0
1035;1035;1
1036;1036;1
1037;1037;1
1038;1038;0
1039;1039;0
1040;1040;0
1041;1041;0
1042;1042;1
1043;1043;0
1044;1044;1
1045;1045;0
1046;1046;1
1047;1047;1
1048;1048;0
1049;1049;0
1050;1050;0
1051;1051;0
1052;1052;1
1053;1053;1
1054;1054;1
1055;1055;0
1056;1056;1
1057;1057;0
1058;1058;1
1059;1059;0
1060;1060;1
1061;1061;0
1062;1062;0
1063;1063;0
1064;1064;0
1065;1065;1
1066;1066;0
1067;1067;0
1068;1068;1
1069;1069;0
1070;1070;0
1071;1071;1
1072;1072;0
1073;1073;1
1074;1074;0
1075;1075;0
1076;1076;0
1077;1077;0
1078;1078;0
1079;1079;1
1080;1080;0
1081;1081;1
1082;1082;0
1083;1083;0
1084;1084;1
1085;1085;0
1086;1086;1
1087;1087;0
1088;1088;1
1089;1089;1
1090;1090;1
1091;1091;0
1092;1092;1
1093;1093;0
1094;1094;1
1095;1095;1
1096;1096;0
1097;1097;0
1098;1098;0
1099;1099;0
1100;1100;1
1101;1101;1
1102;1102;1
1103;1103;0
1104;1104;1
1105;1105;1
1106;1106;1
1107;1107;0
1108;1108;1
1109;1109;1
1110;1110;0
1111;1111;1
1112;1112;0
1113;1113;1
1114;1114;0
1115;1115;0
1116;1116;1
1117;1117;0
1118;1118;0
1119;1119;0
1120;1120;1
1121;1121;1
1122;1122;0
1123;1123;0
1124;1124;0
1125;1125;1
1126;1126;1
1127;1127;1
1128;1128;1
1129;1129;0
1130;1130;0
1131;1131;0
1132;1132;0
1133;1133;0
1134;1134;1
1135;1135;1
1136;1136;0
1137;1137;1
1138;1138;1
1139;1139;1
1140;1140;1
1141;1141;1
1142;1142;1
1143;1143;0
1144;1144;0
1145;1145;1
1146;1146;1
1147;1147;1
1148;1148;1
1149;1149;1
1150;1150;1
1151;1151;0
1152;1152;1
1153;1153;1
1154;1154;1
1155;1155;1
1156;1156;1
1157;1157;0
1158;1158;0
1159;1159;1
1160;1160;0
1161;1161;1
1162;1162;1
1163;1163;0
1164;1164;1
1165;1165;0
1166;1166;0
